feature,importance
los_trend_180d,1357197.0826477408
drg_code,961956.3760099411
late_order_rate,403052.43435359
primary_dx_chapter_te,372945.87218022346
prior_admits_6m_sq,352466.32388424873
last_drg_dispo,343329.5537478924
discharge_location_te,306191.4355505109
prior_admits_x_age,294869.76986545324
discharge_location,289930.2197880745
primary_dx_chapter,286264.12677794695
prior_readmission_count,274438.94211399555
drg_code_te,270029.9739896655
prior_admissions_6m,253235.3785226941
time_since_last_discharge,244304.85967236757
renal_risk_x_age,223032.46413880587
freq_x_recency,215392.42466169596
high_risk_meds_x_age,195568.73638373613
orders_last_6h,178447.45359897614
last_drg_dispo_te,176581.25743043423
med_orders_ratio,174698.5258668661
los_trend_x_prior_6m,164515.56293696165
bmi_last,154718.60442310572
orders_first_24h,148139.18269449472
prior_mean_los_6m,144585.18647909164
severity_x_readmit,135077.7634024024
severity_x_lab_abnormal,129276.2309910655
log_n_labs,129043.47724854946
max_unit_los_days,126675.37466233969
anemia_x_prior_admits,125417.66267502308
los_trend_x_prior_admits,122724.976387918
log_prior_readmit_count,118751.97636967897
log_prior_admits_6m,118410.69210839272
nonenglish_x_prior_admits,116213.17673361301
log_time_since_discharge,113579.25090563297
los_x_n_diagnoses,111156.51422351599
prior_admissions_all,106114.35658556223
new_med_rate_48h,100528.2781432867
clinical_complexity,99908.28946954012
los_per_prior_admit,97271.00220632553
discharge_surge,92136.89610308409
race_te,85704.74483054876
bilirubin_max,84572.0133613944
sodium_last,83684.72814208269
bp_diastolic_outpatient,81776.2526909709
comorbidity_pc4,73713.00326889753
n_emar_details,73480.30397206545
iv_admin_rate,64862.32801365852
bun_creatinine_ratio,61277.56342756748
rapid_tfr_x_readmit,45633.52906048298
n_order_types,42537.45412349701
