iter	Logloss
0	0.678263167
1	0.6622962849
2	0.6498214073
3	0.6381255168
4	0.6260076498
5	0.6148075463
6	0.6040124637
7	0.5949248462
8	0.5869978448
9	0.5788364509
10	0.571788013
11	0.5620663733
12	0.5560487477
13	0.5494345419
14	0.544236653
15	0.5372340441
16	0.5303315999
17	0.5261473102
18	0.5223152467
19	0.518232245
20	0.5143102802
21	0.5109276644
22	0.507833716
23	0.5032429562
24	0.5001560012
25	0.4977627166
26	0.4943067038
27	0.4919213244
28	0.4892440782
29	0.4872627319
30	0.4852682264
31	0.4821787675
32	0.4806569458
33	0.4787645207
34	0.4771946723
35	0.4753632358
36	0.4738000986
37	0.4724027234
38	0.470701136
39	0.4696775146
40	0.4681968793
41	0.4671321118
42	0.4660582049
43	0.465142114
44	0.4630324553
45	0.4623133547
46	0.4615639887
47	0.4597892495
48	0.4588230416
49	0.4572221627
50	0.4558659702
51	0.4552535191
52	0.4543238989
53	0.4537244074
54	0.4531255292
55	0.4526345709
56	0.4522194571
57	0.4512062449
58	0.4501820328
59	0.4495821757
60	0.4490649655
61	0.4485918515
62	0.4481021232
63	0.4473887077
64	0.446929464
65	0.4466302103
66	0.4462961367
67	0.4460216619
68	0.4452254297
69	0.4444560764
70	0.4441652998
71	0.443892808
72	0.4435220724
73	0.4433097727
74	0.4429724347
75	0.4427544729
76	0.4425263004
77	0.4418072659
78	0.4412364061
79	0.4408364624
80	0.4406143849
81	0.440335835
82	0.4401709748
83	0.4399489015
84	0.4397631409
85	0.4396094427
86	0.4392274753
87	0.4389895081
88	0.4387602201
89	0.4383029218
90	0.4381536315
91	0.437962918
92	0.4378298583
93	0.4376014352
94	0.4374598974
95	0.4371262225
96	0.436950515
97	0.43639433
98	0.4362554284
99	0.4360839271
100	0.4359536023
101	0.4356476364
102	0.4352691488
103	0.4350639562
104	0.4348613308
105	0.4344750645
106	0.4343482536
107	0.4342344773
108	0.4341113886
109	0.4339492237
110	0.4336844778
111	0.4335658271
112	0.4334287384
113	0.4332492584
114	0.4328452879
115	0.4326817619
116	0.4323886477
117	0.4322339378
118	0.4320804716
119	0.4318040349
120	0.4316358123
121	0.4315204931
122	0.4313949163
123	0.4312508592
124	0.4311631353
125	0.4310458957
126	0.4309404007
127	0.4308562333
128	0.4307198276
129	0.4306534801
130	0.4305054377
131	0.4304077781
132	0.4303228552
133	0.4301289541
134	0.430035669
135	0.4297948495
136	0.4294961081
137	0.4294048857
138	0.4292897303
139	0.429172441
140	0.4290527424
141	0.4289303601
142	0.4288392447
143	0.4287155947
144	0.4286573418
145	0.4285622431
146	0.4284985134
147	0.4284198783
148	0.4283345175
149	0.4282345296
150	0.4281900442
151	0.4280461585
152	0.4279342943
153	0.427858626
154	0.4278041183
155	0.4277349256
156	0.4276433469
157	0.4274905413
158	0.4274314512
159	0.4273647319
160	0.4272730784
161	0.4271198501
162	0.4270125236
163	0.4269028932
164	0.4268375835
165	0.4267382104
166	0.4266184402
167	0.4265282027
168	0.4264514859
169	0.4263776211
170	0.4263172882
171	0.4262498039
172	0.4261545208
173	0.4260550906
174	0.4259923438
175	0.4258929865
176	0.4258276861
177	0.4257518763
178	0.4257135568
179	0.4255505586
180	0.4255127579
181	0.4253945899
182	0.4253313006
183	0.4251430459
184	0.4250887278
185	0.4249959469
186	0.424917814
187	0.4248321136
188	0.4247261732
189	0.4246254963
190	0.4245741613
191	0.4243628784
192	0.4243056276
193	0.42419129
194	0.4241297692
195	0.4240927639
196	0.4240272813
197	0.4239727809
198	0.4239271613
199	0.4238793059
200	0.4238419776
201	0.4237805023
202	0.4237024235
203	0.4236521064
204	0.4235997392
205	0.4235182768
206	0.423474873
207	0.4234238263
208	0.42338901
209	0.4233217956
210	0.423258653
211	0.4232164469
212	0.4231754314
213	0.423112954
214	0.4230613245
