iter	Passed	Remaining
0	11	20762
1	22	20164
2	34	20315
3	44	19701
4	55	19647
5	66	19675
6	77	19584
7	88	19505
8	98	19352
9	108	19204
10	118	19084
11	130	19170
12	141	19190
13	152	19182
14	162	19131
15	174	19160
16	184	19135
17	195	19070
18	204	18943
19	214	18876
20	225	18882
21	237	18906
22	247	18871
23	258	18899
24	269	18913
25	280	18907
26	291	18890
27	302	18889
28	312	18837
29	322	18806
30	334	18828
31	345	18855
32	355	18792
33	366	18794
34	377	18780
35	388	18770
36	398	18735
37	409	18733
38	421	18780
39	432	18794
40	444	18809
41	454	18779
42	465	18781
43	476	18763
44	486	18732
45	497	18705
46	507	18693
47	518	18670
48	527	18608
49	539	18624
50	550	18636
51	560	18593
52	571	18597
53	581	18569
54	592	18553
55	603	18536
56	613	18527
57	624	18514
58	635	18510
59	646	18509
60	656	18454
61	666	18445
62	677	18442
63	688	18430
64	698	18403
65	709	18394
66	719	18376
67	729	18346
68	741	18347
69	752	18340
70	763	18343
71	773	18322
72	784	18313
73	795	18306
74	805	18287
75	817	18296
76	827	18268
77	839	18292
78	850	18284
79	860	18260
80	871	18238
81	882	18232
82	892	18220
83	903	18203
84	913	18182
85	923	18166
86	934	18149
87	945	18140
88	956	18143
89	966	18122
90	977	18103
91	988	18110
92	998	18088
93	1009	18081
94	1020	18065
95	1030	18042
96	1040	18019
97	1051	18021
98	1061	17997
99	1072	17988
100	1083	17973
101	1093	17959
102	1104	17950
103	1115	17943
104	1127	17946
105	1136	17921
106	1147	17914
107	1158	17906
108	1169	17895
109	1180	17889
110	1191	17890
111	1201	17866
112	1212	17857
113	1223	17849
114	1234	17839
115	1245	17827
116	1257	17836
117	1267	17818
118	1278	17811
119	1290	17817
120	1301	17806
121	1311	17796
122	1322	17787
123	1333	17772
124	1343	17759
125	1355	17762
126	1366	17757
127	1377	17740
128	1389	17745
129	1398	17720
130	1409	17711
131	1420	17698
132	1430	17682
133	1441	17680
134	1452	17671
135	1464	17669
136	1474	17652
137	1485	17638
138	1494	17615
139	1505	17598
140	1516	17591
141	1527	17585
142	1538	17580
143	1548	17563
144	1559	17557
145	1569	17534
146	1579	17515
147	1590	17504
148	1600	17485
149	1611	17476
150	1622	17466
151	1632	17457
152	1643	17440
153	1653	17425
154	1664	17421
155	1675	17408
156	1685	17396
157	1697	17392
158	1708	17389
159	1719	17376
160	1728	17353
161	1740	17352
162	1751	17342
163	1762	17331
164	1773	17324
165	1783	17306
166	1794	17295
167	1805	17288
168	1814	17269
169	1826	17261
170	1837	17256
171	1847	17237
172	1858	17227
173	1869	17223
174	1879	17205
175	1889	17187
176	1900	17179
177	1911	17175
178	1922	17159
179	1933	17156
180	1944	17142
181	1955	17134
182	1965	17119
183	1976	17108
184	1986	17095
185	1997	17088
186	2009	17088
187	2020	17076
188	2032	17073
189	2042	17061
190	2053	17048
191	2065	17047
192	2075	17032
193	2086	17022
194	2097	17015
195	2107	16998
196	2117	16980
197	2127	16966
198	2138	16958
199	2148	16944
200	2159	16932
201	2170	16926
202	2181	16918
203	2192	16908
204	2203	16895
205	2213	16879
206	2224	16868
207	2234	16858
208	2245	16843
209	2255	16828
210	2266	16821
211	2277	16810
212	2286	16791
213	2297	16779
214	2309	16778
215	2321	16776
216	2331	16759
217	2341	16743
218	2351	16727
219	2361	16714
220	2373	16707
221	2382	16688
222	2392	16675
223	2403	16662
224	2413	16650
225	2423	16632
226	2433	16617
227	2444	16606
228	2454	16592
229	2464	16579
230	2476	16575
231	2487	16564
232	2498	16553
233	2509	16545
234	2520	16535
235	2530	16525
236	2541	16516
237	2552	16508
238	2563	16495
239	2574	16486
240	2584	16473
241	2595	16461
242	2605	16448
243	2616	16439
244	2625	16418
245	2637	16413
246	2648	16405
247	2659	16394
248	2670	16387
249	2681	16375
250	2691	16364
251	2702	16352
252	2712	16341
253	2724	16334
254	2735	16326
255	2747	16326
256	2758	16317
257	2769	16303
258	2779	16288
259	2789	16277
260	2800	16268
261	2811	16255
262	2822	16250
263	2833	16238
264	2844	16229
265	2855	16218
266	2865	16205
267	2876	16196
268	2887	16185
269	2897	16172
270	2909	16169
271	2920	16159
272	2930	16146
273	2941	16137
274	2952	16127
275	2963	16114
276	2974	16107
277	2986	16103
278	2996	16091
279	3007	16077
280	3018	16067
281	3029	16061
282	3040	16049
283	3051	16039
284	3061	16027
285	3072	16019
286	3083	16007
287	3094	15996
288	3104	15986
289	3115	15977
290	3125	15962
291	3135	15948
292	3147	15941
293	3158	15934
294	3169	15924
295	3180	15912
296	3192	15910
297	3203	15898
298	3213	15886
299	3225	15878
300	3235	15864
301	3245	15852
302	3256	15844
303	3267	15832
304	3277	15816
305	3287	15804
306	3298	15795
307	3310	15788
308	3322	15783
309	3333	15776
310	3345	15768
311	3357	15764
312	3368	15754
313	3382	15758
314	3395	15759
315	3409	15763
316	3421	15756
317	3433	15751
318	3445	15748
319	3454	15730
320	3466	15723
321	3478	15716
322	3489	15707
323	3499	15695
324	3511	15688
325	3521	15676
326	3533	15669
327	3544	15659
328	3555	15647
329	3567	15641
330	3578	15634
331	3588	15620
332	3600	15613
333	3613	15613
334	3624	15600
335	3635	15591
336	3646	15583
337	3657	15572
338	3670	15568
339	3682	15565
340	3694	15557
341	3705	15550
342	3717	15540
343	3728	15531
344	3739	15522
345	3751	15516
346	3763	15508
347	3774	15498
348	3784	15484
349	3794	15472
350	3806	15464
351	3818	15457
352	3828	15443
353	3840	15437
354	3851	15428
355	3863	15419
356	3875	15413
357	3886	15403
358	3896	15391
359	3907	15379
360	3918	15368
361	3928	15357
362	3939	15346
363	3951	15339
364	3961	15326
365	3971	15311
366	3982	15302
367	3993	15291
368	4003	15276
369	4014	15266
370	4026	15260
371	4037	15248
372	4049	15243
373	4060	15230
374	4070	15217
375	4080	15205
376	4093	15199
377	4102	15185
378	4113	15174
379	4124	15164
380	4135	15153
381	4146	15143
382	4157	15132
383	4168	15122
384	4180	15116
385	4192	15107
386	4201	15091
387	4213	15082
388	4224	15074
389	4235	15064
390	4247	15055
391	4258	15045
392	4269	15035
393	4279	15022
394	4290	15012
395	4301	15002
396	4312	14991
397	4323	14979
398	4335	14973
399	4346	14961
400	4356	14949
401	4367	14937
402	4378	14926
403	4390	14920
404	4403	14915
405	4413	14903
406	4424	14893
407	4435	14883
408	4449	14882
409	4464	14886
410	4479	14886
411	4489	14873
412	4501	14866
413	4514	14861
414	4527	14858
415	4538	14849
416	4549	14836
417	4560	14826
418	4571	14817
419	4582	14806
420	4592	14793
421	4603	14780
422	4614	14769
423	4624	14756
424	4634	14743
425	4645	14733
426	4656	14721
427	4667	14710
428	4677	14696
429	4688	14686
430	4699	14676
431	4710	14665
432	4721	14655
433	4731	14641
434	4742	14629
435	4754	14622
436	4763	14607
437	4774	14595
438	4786	14587
439	4796	14575
440	4807	14563
441	4819	14556
442	4829	14542
443	4839	14528
444	4850	14519
445	4861	14509
446	4873	14502
447	4884	14490
448	4895	14478
449	4906	14467
450	4917	14458
451	4928	14446
452	4938	14433
453	4949	14424
454	4960	14413
455	4970	14400
456	4981	14387
457	4993	14379
458	5003	14367
459	5013	14354
460	5023	14341
461	5034	14330
462	5044	14315
463	5056	14307
464	5067	14298
465	5077	14285
466	5090	14279
467	5099	14263
468	5110	14252
469	5122	14243
470	5133	14233
471	5143	14220
472	5154	14209
473	5165	14199
474	5176	14188
475	5186	14176
476	5197	14165
477	5206	14149
478	5217	14139
479	5229	14130
480	5240	14120
481	5252	14111
482	5262	14099
483	5273	14086
484	5283	14074
485	5295	14066
486	5304	14052
487	5315	14039
488	5326	14029
489	5338	14021
490	5350	14012
491	5362	14006
492	5374	13996
493	5384	13984
494	5395	13972
495	5405	13961
496	5415	13947
497	5427	13939
498	5438	13929
499	5450	13919
500	5461	13909
501	5471	13897
502	5482	13885
503	5494	13876
504	5505	13867
505	5517	13858
506	5528	13847
507	5539	13836
508	5549	13823
509	5560	13813
510	5571	13804
511	5582	13793
512	5592	13779
513	5603	13769
514	5615	13761
515	5627	13751
516	5637	13739
517	5649	13730
518	5660	13719
519	5671	13708
520	5682	13699
521	5694	13690
522	5706	13681
523	5717	13672
524	5728	13661
525	5739	13649
526	5749	13638
527	5760	13627
528	5770	13614
529	5782	13605
530	5794	13596
531	5804	13583
532	5815	13572
533	5826	13561
534	5836	13550
535	5847	13539
536	5858	13528
537	5868	13514
538	5879	13505
539	5891	13495
540	5902	13484
541	5913	13474
542	5923	13461
543	5934	13449
544	5944	13436
545	5954	13425
546	5964	13411
547	5974	13399
548	5986	13389
549	5997	13380
550	6008	13369
551	6018	13357
552	6029	13344
553	6039	13331
554	6051	13323
555	6062	13313
556	6071	13299
557	6083	13288
558	6094	13279
559	6105	13267
560	6114	13253
561	6125	13241
562	6136	13232
563	6146	13219
564	6158	13210
565	6168	13198
566	6179	13186
567	6191	13178
568	6201	13165
569	6212	13154
570	6224	13145
571	6234	13132
572	6244	13121
573	6254	13108
574	6265	13098
575	6276	13086
576	6286	13074
577	6298	13065
578	6309	13055
579	6319	13041
580	6330	13031
581	6339	13017
582	6351	13008
583	6363	13000
584	6375	12990
585	6386	12980
586	6397	12968
587	6407	12956
588	6418	12945
589	6429	12935
590	6442	12928
591	6453	12917
592	6465	12909
593	6476	12898
594	6487	12887
595	6497	12876
596	6509	12866
597	6519	12853
598	6530	12843
599	6541	12832
600	6551	12819
601	6561	12807
602	6572	12796
603	6583	12784
604	6592	12771
605	6604	12762
606	6616	12753
607	6628	12745
608	6641	12736
609	6651	12726
610	6663	12716
611	6675	12707
612	6687	12698
613	6697	12685
614	6709	12676
615	6721	12668
616	6732	12657
617	6744	12648
618	6756	12638
619	6767	12629
620	6779	12620
621	6791	12611
622	6803	12602
623	6815	12593
624	6827	12583
625	6838	12574
626	6852	12567
627	6864	12560
628	6876	12549
629	6888	12540
630	6898	12528
631	6909	12518
632	6921	12508
633	6932	12498
634	6944	12489
635	6956	12479
636	6965	12465
637	6976	12454
638	6987	12444
639	7000	12436
640	7012	12427
641	7023	12417
642	7035	12407
643	7045	12394
644	7055	12383
645	7067	12373
646	7079	12364
647	7092	12357
648	7103	12345
649	7114	12334
650	7125	12324
651	7137	12315
652	7148	12304
653	7160	12294
654	7171	12285
655	7183	12275
656	7194	12264
657	7205	12253
658	7216	12242
659	7227	12232
660	7238	12220
661	7248	12208
662	7260	12199
663	7272	12190
664	7286	12183
665	7298	12175
666	7312	12169
667	7325	12161
668	7339	12155
669	7350	12145
670	7361	12133
671	7372	12123
672	7383	12112
673	7394	12101
674	7406	12091
675	7417	12081
676	7429	12070
677	7439	12059
678	7451	12049
679	7461	12036
680	7472	12026
681	7484	12016
682	7495	12005
683	7505	11992
684	7516	11982
685	7526	11970
686	7537	11959
687	7549	11949
688	7560	11938
689	7570	11926
690	7581	11915
691	7593	11905
692	7604	11894
693	7615	11883
694	7625	11871
695	7635	11859
696	7646	11848
697	7656	11835
698	7666	11822
699	7677	11811
700	7688	11801
701	7699	11790
702	7708	11777
703	7721	11769
704	7732	11758
705	7743	11747
706	7755	11738
707	7766	11726
708	7778	11716
709	7789	11705
710	7799	11693
711	7810	11682
712	7821	11672
713	7832	11660
714	7842	11647
715	7853	11637
